id,name,content,difficulty
1096,Maximum Sum of Two Non-Overlapping Subarrays,"['Given', 'array', 'A', 'return', 'maximum', 'sum', 'elements', 'two', 'subarray', 'could', 'occur', 'largest', 'V', 'L', 'j', 'j', 'M', 'j', 'j', 'M', 'L', 'Example', 'A', 'L', 'M', 'One', 'choice', 'subarrays', 'length', 'length', 'Example', 'A', 'L', 'M', 'One', 'choice', 'subarrays', 'length', 'length', 'Example', 'A', 'L', 'M', 'One', 'choice', 'subarrays', 'length', 'length', 'L', 'M', 'L', 'M']",2
1095,Two City Scheduling,"['There', 'people', 'company', 'planning', 'The', 'cost', 'flying', 'person', 'city', 'A', 'cost', 'flying', 'person', 'city', 'B', 'Return', 'minimum', 'cost', 'fly', 'every', 'person', 'city', 'exactly', 'N', 'people', 'arrive', 'Example', 'The', 'first', 'person', 'goes', 'city', 'A', 'cost', 'The', 'second', 'person', 'goes', 'city', 'A', 'cost', 'The', 'third', 'person', 'goes', 'city', 'B', 'cost', 'The', 'fourth', 'person', 'goes', 'city', 'B', 'cost', 'The', 'total', 'minimum', 'cost', 'half', 'people', 'interviewing', 'It', 'guaranteed']",1
1094,Matrix Cells in Distance Order,"['We', 'given', 'matrix', 'R', 'rows', 'C', 'columns', 'cells', 'integer', 'r', 'R', 'c', 'given', 'cell', 'matrix', 'Return', 'coordinates', 'cells', 'sorted', 'distance', 'smallest', 'distance', 'largest', 'distance', 'two', 'cells', 'Manhattan', 'may', 'return', 'answer', 'order', 'satisfies', 'Example', 'R', 'C', 'The', 'distances', 'cells', 'Example', 'R', 'C', 'The', 'distances', 'cells', 'The', 'answer', 'would', 'also', 'accepted', 'Example', 'R', 'C', 'The', 'distances', 'cells', 'There', 'answers', 'would', 'also', 'accepted', 'R', 'C', 'R', 'C']",1
1093,Recover a Tree From Preorder Traversal,"['We', 'run', 'first', 'search', 'root', 'binary', 'At', 'node', 'output', 'D', 'dashes', 'D', 'depth', 'output', 'value', 'depth', 'node', 'depth', 'immediate', 'child', 'The', 'depth', 'root', 'node', 'If', 'node', 'one', 'child', 'guaranteed', 'left', 'Given', 'output', 'S', 'recover', 'tree', 'return', 'Example', 'Example', 'Example', 'The', 'number', 'nodes', 'original', 'tree', 'Each', 'node', 'value']",3
1092,Maximum Difference Between Node and Ancestor,"['Given', 'root', 'binary', 'find', 'maximum', 'value', 'V', 'exists', 'different', 'nodes', 'A', 'B', 'V', 'A', 'ancestor', 'node', 'A', 'ancestor', 'B', 'child', 'A', 'equal', 'child', 'A', 'ancestor', 'Example', 'We', 'various', 'given', 'Among', 'possible', 'maximum', 'value', 'obtained', 'The', 'number', 'nodes', 'tree', 'Each', 'node', 'value']",2
1087,Longest Arithmetic Sequence,"['Given', 'array', 'A', 'return', 'length', 'longest', 'arithmetic', 'subsequence', 'Recall', 'subsequence', 'A', 'list', 'sequence', 'arithmetic', 'value', 'Example', 'The', 'whole', 'array', 'arithmetic', 'sequence', 'steps', 'length', 'Example', 'The', 'longest', 'arithmetic', 'subsequence', 'Example', 'The', 'longest', 'arithmetic', 'subsequence']",2
1086,Divisor Game,"['Alice', 'Bob', 'take', 'turns', 'playing', 'Alice', 'starting', 'number', 'On', 'player', 'makes', 'x', 'x', 'N', 'N', 'x', 'chalkboard', 'N', 'player', 'cannot', 'make', 'lose', 'Return', 'True', 'Alice', 'wins', 'assuming', 'players', 'play', 'Example', 'Alice', 'chooses', 'Bob', 'Example', 'Alice', 'chooses', 'Bob', 'chooses', 'Alice', 'N']",1
1081,Video Stitching,"['You', 'given', 'series', 'video', 'clips', 'sporting', 'event', 'lasted', 'T', 'video', 'clips', 'overlapping', 'varied', 'Each', 'video', 'clip', 'starts', 'time', 'ends', 'time', 'We', 'cut', 'clips', 'segments', 'clip', 'cut', 'Return', 'minimum', 'number', 'clips', 'needed', 'cut', 'clips', 'segments', 'cover', 'entire', 'sporting', 'event', 'If', 'task', 'return', 'Example', 'clips', 'T', 'We', 'take', 'clips', 'total', 'reconstruct', 'sporting', 'event', 'We', 'cut', 'segments', 'Now', 'segments', 'cover', 'sporting', 'event', 'Example', 'clips', 'T', 'We', 'cover', 'Example', 'clips', 'T', 'We', 'take', 'clips', 'Example', 'clips', 'T', 'Notice', 'extra', 'video', 'event', 'T']",2
1080,Camelcase Matching,"['A', 'query', 'word', 'matches', 'given', 'pattern', 'insert', 'lowercase', 'letters', 'pattern', 'word', 'equals', 'may', 'insert', 'character', 'may', 'insert', 'Given', 'list', 'return', 'answer', 'list', 'true', 'matches', 'Example', 'queries', 'pattern', 'generated', 'like', 'generated', 'like', 'generated', 'like', 'Example', 'queries', 'pattern', 'generated', 'like', 'generated', 'like', 'Example', 'queries', 'pattern', 'generated', 'like', 'All', 'strings', 'consists', 'lower', 'upper', 'case', 'English']",2
1079,Sum of Root To Leaf Binary Numbers,"['Given', 'binary', 'node', 'value', 'Each', 'path', 'represents', 'binary', 'number', 'starting', 'significant', 'For', 'path', 'could', 'represent', 'For', 'leaves', 'consider', 'numbers', 'represented', 'root', 'Return', 'sum', 'Example', 'The', 'number', 'nodes', 'tree', 'The', 'answer', 'exceed']",1
1078,Remove Outermost Parentheses,"['A', 'valid', 'parentheses', 'string', 'either', 'empty', 'A', 'A', 'A', 'B', 'valid', 'parentheses', 'represents', 'string', 'For', 'valid', 'parentheses', 'A', 'valid', 'parentheses', 'string', 'S', 'primitive', 'exist', 'way', 'split', 'S', 'A', 'B', 'nonempty', 'valid', 'parentheses', 'Given', 'valid', 'parentheses', 'string', 'consider', 'primitive', 'S', 'primitive', 'valid', 'parentheses', 'Return', 'S', 'removing', 'outermost', 'parentheses', 'every', 'primitive', 'string', 'primitive', 'decomposition', 'Example', 'The', 'input', 'string', 'primitive', 'decomposition', 'After', 'removing', 'outer', 'parentheses', 'Example', 'The', 'input', 'string', 'primitive', 'decomposition', 'After', 'removing', 'outer', 'parentheses', 'Example', 'The', 'input', 'string', 'primitive', 'decomposition', 'After', 'removing', 'outer', 'parentheses', 'S', 'valid', 'parentheses', 'string']",1
1073,Number of Enclaves,"['Given', 'array', 'cell', 'A', 'move', 'consists', 'walking', 'one', 'land', 'square', 'another', 'land', 'boundary', 'Return', 'number', 'land', 'squares', 'grid', 'cannot', 'walk', 'boundary', 'grid', 'number', 'Example', 'There', 'three', 'enclosed', 'one', 'enclosed', 'Example', 'All', 'either', 'boundary', 'reach', 'All', 'rows']",2
1072,Next Greater Node In Linked List,"['We', 'given', 'linked', 'list', 'first', 'number', 'Each', 'node', 'may', 'next', 'larger', 'j', 'j', 'smallest', 'possible', 'If', 'next', 'larger', 'value', 'Return', 'array', 'Note', 'example', 'arrays', 'serialization', 'linked', 'list', 'head', 'node', 'value', 'second', 'node', 'value', 'third', 'node', 'value', 'Example', 'Example', 'Example', 'node', 'linked', 'The', 'given', 'list', 'length', 'range']",2
1071,Binary Prefix Divisible By 5,"['Given', 'array', 'A', 'consider', 'subarray', 'binary', 'number', 'Return', 'list', 'divisible', 'Example', 'The', 'input', 'numbers', 'binary', 'Only', 'first', 'number', 'divisible', 'Example', 'Example', 'Example']",1
1070,Convert to Base -2,"['Given', 'number', 'return', 'string', 'consisting', 'represents', 'value', 'base', 'The', 'returned', 'string', 'must', 'leading', 'unless', 'string', 'Example', 'Example', 'Example', 'N']",2
1065,Binary String With Substrings Representing 1 To N,"['Given', 'binary', 'string', 'S', 'string', 'consisting', 'positive', 'integer', 'return', 'true', 'every', 'integer', 'X', 'binary', 'representation', 'X', 'substring', 'Example', 'S', 'N', 'Example', 'S', 'N', 'N']",2
1064,Smallest Integer Divisible by K,"['Given', 'positive', 'integer', 'need', 'find', 'integer', 'N', 'N', 'divisible', 'N', 'contains', 'digit', 'Return', 'If', 'Example', 'The', 'smallest', 'answer', 'N', 'length', 'Example', 'There', 'positive', 'integer', 'N', 'divisible', 'Example', 'The', 'smallest', 'answer', 'N', 'length', 'K']",2
1063,Best Sightseeing Pair,"['Given', 'array', 'A', 'positive', 'represents', 'value', 'sightseeing', 'spots', 'distance', 'j', 'The', 'pair', 'sightseeing', 'spots', 'sum', 'values', 'sightseeing', 'minus', 'distance', 'Return', 'maximum', 'score', 'pair', 'sightseeing', 'Example', 'j', 'j']",2
1062,Partition Array Into Three Parts With Equal Sum,"['Given', 'array', 'A', 'return', 'true', 'partition', 'array', 'three', 'parts', 'equal', 'partition', 'array', 'find', 'indexes', 'j', 'Example', 'Example', 'Example']",1
1057,Numbers With Repeated Digits,"['Given', 'positive', 'integer', 'return', 'number', 'positive', 'integers', 'less', 'equal', 'N', 'least', 'repeated', 'Example', 'The', 'positive', 'number', 'least', 'repeated', 'digit', 'Example', 'The', 'positive', 'numbers', 'atleast', 'repeated', 'digit', 'Example', 'N']",3
1056,Capacity To Ship Packages Within D Days,"['A', 'conveyor', 'belt', 'packages', 'must', 'shipped', 'one', 'port', 'another', 'within', 'D', 'The', 'package', 'conveyor', 'belt', 'weight', 'Each', 'load', 'ship', 'packages', 'conveyor', 'belt', 'order', 'given', 'We', 'may', 'load', 'weight', 'maximum', 'weight', 'capacity', 'Return', 'least', 'weight', 'capacity', 'ship', 'result', 'packages', 'conveyor', 'belt', 'shipped', 'within', 'D', 'Example', 'weights', 'D', 'A', 'ship', 'capacity', 'minimum', 'ship', 'packages', 'days', 'like', 'Note', 'cargo', 'must', 'shipped', 'order', 'using', 'ship', 'capacity', 'splitting', 'packages', 'parts', 'like', 'Example', 'weights', 'D', 'A', 'ship', 'capacity', 'minimum', 'ship', 'packages', 'days', 'like', 'Example', 'weights', 'D', 'D']",2
1055,Pairs of Songs With Total Durations Divisible by 60,"['In', 'list', 'duration', 'Return', 'number', 'pairs', 'songs', 'seconds', 'divisible', 'want', 'number', 'j', 'Example', 'Three', 'pairs', 'total', 'duration', 'divisible', 'total', 'duration', 'total', 'duration', 'total', 'duration', 'Example', 'All', 'three', 'pairs', 'total', 'duration', 'divisible']",1
1054,Complement of Base 10 Integer,"['Every', 'integer', 'binary', 'For', 'represented', 'Note', 'except', 'N', 'leading', 'zeroes', 'The', 'binary', 'number', 'binary', 'get', 'changing', 'every', 'For', 'complement', 'binary', 'For', 'given', 'number', 'N', 'return', 'complement', 'binary', 'representation', 'Example', 'complement', 'Example', 'complement', 'Example', 'complement', 'N']",1
1050,Construct Binary Search Tree from Preorder Traversal,"['Return', 'root', 'node', 'binary', 'search', 'tree', 'matches', 'given', 'preorder', 'binary', 'search', 'binary', 'tree', 'every', 'descendant', 'value', 'descendant', 'value', 'Also', 'recall', 'preorder', 'value', 'traverses', 'traverses', 'Example', 'The', 'values', 'preorder']",2
1049,Minimum Domino Rotations For Equal Row,"['In', 'row', 'represent', 'top', 'bottom', 'halves', 'domino', 'tile', 'two', 'numbers', 'one', 'half', 'We', 'may', 'rotate', 'swap', 'Return', 'minimum', 'number', 'rotations', 'values', 'A', 'values', 'If', 'cannot', 'return', 'Example', 'A', 'B', 'The', 'first', 'figure', 'represents', 'dominoes', 'given', 'A', 'If', 'rotate', 'second', 'fourth', 'make', 'every', 'value', 'top', 'row', 'equal', 'indicated', 'second', 'Example', 'A', 'B', 'In', 'possible', 'rotate', 'dominoes', 'make', 'one', 'row', 'values']",2
1048,Clumsy Factorial,"['factorial', 'positive', 'integer', 'product', 'positive', 'integers', 'less', 'equal', 'For', 'We', 'instead', 'make', 'clumsy', 'integers', 'decreasing', 'multiply', 'operations', 'fixed', 'rotation', 'divide', 'add', 'subtract', 'For', 'operations', 'still', 'applied', 'using', 'usual', 'order', 'operations', 'multiplication', 'division', 'steps', 'addition', 'subtraction', 'multiplication', 'division', 'steps', 'processed', 'left', 'division', 'use', 'floor', 'This', 'guarantees', 'result', 'Implement', 'defined', 'given', 'integer', 'returns', 'clumsy', 'factorial', 'Example', 'Example', 'N', 'answer', 'answer', 'guaranteed', 'fit', 'within']",2
1047,Maximize Sum Of Array After K Negations,"['Given', 'array', 'A', 'array', 'following', 'choose', 'repeat', 'process', 'K', 'times', 'may', 'choose', 'index', 'multiple', 'Return', 'largest', 'possible', 'sum', 'array', 'modifying', 'Example', 'A', 'K', 'Choose', 'indices', 'A', 'becomes', 'Example', 'A', 'K', 'Choose', 'indices', 'A', 'becomes', 'Example', 'A', 'K', 'Choose', 'indices', 'A', 'becomes', 'K']",1
1046,Max Consecutive Ones III,"['Given', 'array', 'may', 'change', 'Return', 'length', 'longest', 'subarray', 'contains', 'Example', 'A', 'K', 'Bolded', 'numbers', 'flipped', 'The', 'longest', 'subarray', 'Example', 'A', 'K', 'Bolded', 'numbers', 'flipped', 'The', 'longest', 'subarray', 'K']",2
1045,Check If Word Is Valid After Substitutions,"['We', 'given', 'string', 'From', 'valid', 'string', 'may', 'two', 'pieces', 'X', 'Y', 'X', 'Y', 'concatenated', 'equal', 'Y', 'may', 'X', 'Y', 'also', 'If', 'example', 'S', 'examples', 'valid', 'strings', 'Examples', 'Return', 'true', 'given', 'Example', 'We', 'start', 'valid', 'string', 'Then', 'insert', 'another', 'resulting', 'Example', 'valid', 'consecutive', 'insertings', 'Then', 'insert', 'last', 'resulting', 'Example', 'Example', 'false']",2
1044,Find Common Characters,"['Given', 'strings', 'made', 'lowercase', 'return', 'list', 'characters', 'show', 'strings', 'within', 'list', 'character', 'occurs', 'strings', 'need', 'include', 'character', 'three', 'final', 'You', 'may', 'return', 'answer', 'Example', 'Example', 'lowercase', 'letter']",1
